Id	CAS	SMILES	Status	Experimental value	Predicted value
1500	146795-33-7	O=C(Nc1ccccc1CC)c2cc([N+](=O)[O-])sc2	Training	Mutagen	Mutagen
1501	146795-34-8	O=C(Nc1ccccc1)c2cc([N+](=O)[O-])sc2	Training	Mutagen	Mutagen
1502	146795-35-9	O=C(Nc1ccc(F)cc1)c2cc([N+](=O)[O-])sc2	Training	Mutagen	Mutagen
1503	146795-36-0	O=C(Nc1cccc(F)c1)c2cc([N+](=O)[O-])sc2	Training	Mutagen	Mutagen
1504	146795-37-1	O=C(Nc1ccccc1(F))c2cc([N+](=O)[O-])sc2	Training	Mutagen	Mutagen
1505	146795-38-2	O=C(Nc1ccc(cc1)Cl)c2cc([N+](=O)[O-])sc2	Training	Mutagen	Mutagen
1506	146795-39-3	O=C(Nc1cccc(c1)Cl)c2cc([N+](=O)[O-])sc2	Training	Mutagen	Mutagen
1507	146795-40-6	O=C(Nc1ccccc1Cl)c2cc([N+](=O)[O-])sc2	Training	Mutagen	Mutagen
1508	146795-41-7	O=C(Nc1ccc(cc1)Br)c2cc([N+](=O)[O-])sc2	Training	Mutagen	Mutagen
1509	146795-42-8	O=C(Nc1cccc(c1)Br)c2cc([N+](=O)[O-])sc2	Training	Mutagen	Mutagen
1510	146795-43-9	O=C(Nc1ccccc1Br)c2cc([N+](=O)[O-])sc2	Training	Mutagen	Mutagen
1511	146795-44-0	O=C(Nc1ccc(cc1)[N+](=O)[O-])c2cc([N+](=O)[O-])sc2	Training	Mutagen	Mutagen
1512	146795-45-1	O=C(Nc1cccc(c1)[N+](=O)[O-])c2cc([N+](=O)[O-])sc2	Training	Mutagen	Mutagen
1513	146795-46-2	O=C(Nc1ccccc1[N+](=O)[O-])c2cc([N+](=O)[O-])sc2	Training	Mutagen	Mutagen
1514	146795-48-4	O=C(c1cc([N+](=O)[O-])sc1)N(c2ccccc2)C	Training	Mutagen	Mutagen
1515	146818-20-4	O=C(Nc1ccc(cc1)CC)c2cc([N+](=O)[O-])sc2	Training	Mutagen	Mutagen
1516	1468-95-7	OCc2c3ccccc3(cc1ccccc12)	Training	Mutagen	Mutagen
1517	14691-88-4	ON1C(C)(C)CC(N)CC1(C)C	Training	Mutagen	NON-Mutagen
1518	14692-41-2	n1cccc3c1ccc2c3(ncn2C)	Training	Mutagen	Mutagen
1519	14698-29-4	O=C(O)C1=CN(c2cc3OCOc3(cc2(C1(=O))))CC	Training	Mutagen	Mutagen
1520	14703-71-0	O=[N+]([O-])c1c(O)cccc1(N)	Training	NON-Mutagen	NON-Mutagen
1521	147151-61-9	O=C(OC4CCC2(C)(C(CCC1C3CCC(=O)NC3(C)(CCC12))C4))C=Cc5cccc(c5)N(CCCl)CCCl	Training	Mutagen	Mutagen
1522	147151-64-2	O=C(OC2CCC3C4CCC1=CC(=O)NCCC1(C)C4(CCC23(C)))C=Cc5cccc(c5)N(CCCl)CCCl	Training	NON-Mutagen	Mutagen
1523	147151-67-5	O=C(OC3CC2=CCC1C4CCC(=O)NC4(C)(CCC1C2(C)CC3))C=Cc5cccc(c5)N(CCCl)CCCl	Training	Mutagen	Mutagen
1524	147-24-0	O(CCN(C)C)C(c1ccccc1)c2ccccc2	Training	NON-Mutagen	NON-Mutagen
1525	147293-13-8	n2cccc3ccc1c(nc(N)n1C)c23	Training	Mutagen	Mutagen
1526	147293-14-9	n2ccc3ccc1c(nc(N)n1C)c3(c2)	Training	Mutagen	Mutagen
1527	147293-15-0	n1ccc2c3nc(N)n(c3(ccc2(c1)))C	Training	Mutagen	Mutagen
1528	147318-81-8	O=C(NC(C(=O)NC(Cc1ccccc1)C(O)C(=O)N2CSCC2(C(=O)NC(C)(C)C))CSC)COc3cccc4cnccc34	Training	NON-Mutagen	NON-Mutagen
1529	147-47-7	c1ccc2c(c1)NC(C=C2C)(C)C	Training	NON-Mutagen	NON-Mutagen
1530	1477-42-5	n1c(N)sc2cccc(c12)C	Training	NON-Mutagen	Mutagen
1531	1477-55-0	NCc1cccc(c1)CN	Training	NON-Mutagen	NON-Mutagen
1532	147974-61-6	O=C(c1cc(ccc1(N))Cc2ccc(N)c(c2)C(=O)C)C	Training	Mutagen	Mutagen
1533	148021-80-1	O=C3c2ccc1c4C=CC(O)C(O)c4(ccc1c2CC3)	Training	Mutagen	Mutagen
1534	148174-23-6	O=C(N=C2c1ccccc1N(C(=O)CCCl)S2)CCCl	Training	NON-Mutagen	Mutagen
1535	148174-24-7	O=C(N=C2c1ccccc1N(C(=O)CCCCl)S2)CCCCl	Training	NON-Mutagen	Mutagen
1536	148193-29-7	n3cc2cccc(OCC1OC1)c2s3	Training	Mutagen	Mutagen
1537	148193-30-0	n2c(c1cc(N)ccc1s2)Cl	Training	Mutagen	Mutagen
1538	148193-31-1	n2c(c1cccc(N)c1s2)Cl	Training	Mutagen	Mutagen
1539	148193-32-2	O=[N+]([O-])c1ccc2c(nsc2(c1))OC	Training	Mutagen	Mutagen
1540	148193-33-3	n2c(OC)c1ccc(N)cc1s2	Training	Mutagen	Mutagen
1541	148193-34-4	n3c(OC)c2cc(OCC1OC1)ccc2s3	Training	Mutagen	Mutagen
1542	148193-35-5	n3c(OC)c2ccc(OCC1OC1)cc2s3	Training	Mutagen	Mutagen
1543	148193-36-6	n3c(OC)c2cccc(OCC1OC1)c2s3	Training	Mutagen	Mutagen
1544	148193-37-7	O=C1NSc2cc(N)ccc12	Training	NON-Mutagen	NON-Mutagen
1545	148193-38-8	O=C3c2ccc(OCC1OC1)cc2SN3CC4OC4	Training	Mutagen	NON-Mutagen
1546	148317-76-4	O=C2c1ccccc1C3=C2c4ccccc4(C(=O)N3CCNCCO)	Training	NON-Mutagen	Mutagen
1547	1484-12-4	c1ccc3c(c1)c2ccccc2n3C	Training	Mutagen	Mutagen
1548	148-53-8	O=Cc1cccc(OC)c1(O)	Training	NON-Mutagen	NON-Mutagen
1549	14861-17-7	O(c1ccc(N)cc1)c2ccc(cc2Cl)Cl	Training	Mutagen	Mutagen
1550	148-65-2	n1ccccc1N(Cc2ccc(Cl)s2)CCN(C)C	Training	NON-Mutagen	NON-Mutagen
1551	148-79-8	n1cscc1c2nc3ccccc3([nH]2)	Training	Mutagen	Mutagen
1552	1488-21-7	O1C23(C=CC=CC13(CCC2))	Training	Mutagen	NON-Mutagen
1553	148-82-3	O=C(O)C(N)Cc1ccc(cc1)N(CCCl)CCCl	Training	Mutagen	Mutagen
1554	14882-94-1	O=C1Oc2cc3OC(Cc3(cc2(C=C1C(C=C)(C)C)))C(OC(=O)C)(C)C	Training	NON-Mutagen	Mutagen
1555	14901-07-6	O=C(C=CC1=C(C)CCCC1(C)C)C	Training	NON-Mutagen	NON-Mutagen
1556	149022-16-2	Oc1ccc2c(c1)[nH]c3c(nccc23)C	Training	Mutagen	Mutagen
1557	149127-56-0	OOC(N=NC)(C)C	Training	Mutagen	Mutagen
1558	149127-57-1	OOC(N=NCC)(C)C	Training	NON-Mutagen	Mutagen
1559	149127-58-2	OOC(N=NCCC)(C)C	Training	Mutagen	Mutagen
1560	14919-77-8	O=C(NNCc1ccc(O)c(O)c1(O))C(N)CO	Training	Mutagen	Mutagen
1561	14925-39-4	O=CC(=C)Br	Training	Mutagen	Mutagen
1562	149-32-6	OCC(O)C(O)CO	Training	NON-Mutagen	NON-Mutagen
1563	149396-88-3	O=[N+]([O-])c1cnc(n1C)C(O)c2cc(OC)cc(c2(O))C(C)(C)C	Training	Mutagen	NON-Mutagen
1564	149396-89-4	O=[N+]([O-])c1cnc(n1C)C(O)c2cc(cc(c2(O))C(C)(C)C)C(C)(C)C	Training	NON-Mutagen	NON-Mutagen
1565	149396-90-7	O=[N+]([O-])c1cnc(n1C)C(O)c2cc(cc(c2(O))C(C)(C)C)C	Training	NON-Mutagen	NON-Mutagen
1566	149396-91-8	O=[N+]([O-])c1cnc(n1C)C(O)c2c(O)c(ccc2C)C(C)(C)C	Training	NON-Mutagen	NON-Mutagen
1567	149418-41-7	O=C1OCC(=C1Br)Br	Training	Mutagen	Mutagen
1568	14953-62-9	O=[N+]([O-])c2[nH]cnc2(c1ccccc1)	Training	Mutagen	Mutagen
1569	14953-63-0	O=[N+]([O-])c1c(ncn1C)c2ccccc2	Training	Mutagen	Mutagen
1570	149573-80-8	O=Nn1cnc(c1)CC(=O)NO	Training	Mutagen	Mutagen
1571	149862-55-5	n2c1ccccc1c(NCCCC)s2	Training	NON-Mutagen	NON-Mutagen
1572	149862-56-6	n2c1ccccc1c(NCCCCC)s2	Training	NON-Mutagen	NON-Mutagen
1573	149862-57-7	n2c1ccccc1c(NCCC(C)C)s2	Training	NON-Mutagen	NON-Mutagen
1574	149-91-7	O=C(O)c1cc(O)c(O)c(O)c1	Training	NON-Mutagen	NON-Mutagen
1575	149922-82-7	c1ccc5c(c1)cc4c3c5(ccc2cccc(c23)C4Cl)	Training	Mutagen	Mutagen
1576	14992-81-5	C=Cc1c(c(c(c(c1Cl)Cl)Cl)Cl)Cl	Training	NON-Mutagen	NON-Mutagen
1577	1499-54-3	O=C(NCC(=O)NO)c1ccccc1	Training	Mutagen	Mutagen
1578	149996-82-7	O=NN(C=O)CC	Training	Mutagen	Mutagen
1579	150-13-0	O=C(O)c1ccc(N)cc1	Training	NON-Mutagen	NON-Mutagen
1580	150147-09-4	OCCN(c2ncc(N=Nc1ccc(cc1)N(CCO)CCO)cc2)CCO	Training	NON-Mutagen	NON-Mutagen
1581	150-30-1	O=C(O)C(N)Cc1ccccc1	Training	NON-Mutagen	NON-Mutagen
1582	150366-18-0	N#CCCC(O)c2nc1ccc(cc1s2)N3C(=O)OC(COC)C3	Training	NON-Mutagen	Mutagen
1583	1503-91-9	O=C(N(O)c1ccc(cc1)Cl)C	Training	NON-Mutagen	NON-Mutagen
1584	150445-96-8	O=[N+]([O-])c4ccc2c(nc(C=NOCc1ccccc1[N+](=O)[O-])n2Cc3ccccc3)c4	Training	Mutagen	NON-Mutagen
1585	150445-97-9	O=[N+]([O-])c1cccc(c1)CON=Cc3nc2cc(ccc2n3Cc4ccc(cc4)Cl)[N+](=O)[O-]	Training	NON-Mutagen	Mutagen
1586	150445-98-0	O=[N+]([O-])c4ccc2c(nc(C=NOCc1ccccc1[N+](=O)[O-])n2Cc3ccc(cc3Cl)Cl)c4	Training	Mutagen	NON-Mutagen
1587	150445-99-1	O=[N+]([O-])c4ccc2c(nc(C=NOCc1cccc(c1)[N+](=O)[O-])n2Cc3ccc(F)cc3)c4	Training	NON-Mutagen	Mutagen
1588	150446-00-7	O=[N+]([O-])c1cccc(c1)CON=Cc3c2cc(ccc2n(c3C)Cc4ccccc4)[N+](=O)[O-]	Training	Mutagen	NON-Mutagen
1589	150446-01-8	O=[N+]([O-])c1ccc3c(c1)c(C=NOCc2ccc(cc2Cl)Cl)c(n3Cc4ccc(cc4)Cl)C	Training	NON-Mutagen	Mutagen
1590	150446-02-9	O=[N+]([O-])c1ccc3c(c1)c(C=NOCc2ccc(cc2)Cl)c(n3Cc4ccccc4)C	Training	NON-Mutagen	Mutagen
1591	150446-03-0	O=[N+]([O-])c1cccc(c1)Cn3c4ccc(cc4(c(C=NOCc2ccccc2)c3C))[N+](=O)[O-]	Training	Mutagen	NON-Mutagen
1592	150446-04-1	O=[N+]([O-])c1ccc2c(c1)c(c(n2Cc3ccccc3)C)Cn4cncc4	Training	Mutagen	Mutagen
1593	1504-74-1	O=CC=Cc1ccccc1(OC)	Training	Mutagen	NON-Mutagen
1594	150-60-7	c1ccc(cc1)CSSCc2ccccc2	Training	Mutagen	NON-Mutagen
1595	150-68-5	O=C(Nc1ccc(cc1)Cl)N(C)C	Training	NON-Mutagen	NON-Mutagen
1596	150-69-6	O=C(N)Nc1ccc(OCC)cc1	Training	NON-Mutagen	Mutagen
1597	150-76-5	Oc1ccc(OC)cc1	Training	NON-Mutagen	NON-Mutagen
1598	150-78-7	O(c1ccc(OC)cc1)C	Training	NON-Mutagen	NON-Mutagen
1599	15088-70-7	O=C(OCC)CNC(=O)CBr	Training	NON-Mutagen	Mutagen
1600	15104-03-7	O=NN1CCC(C)CC1	Training	Mutagen	Mutagen
1601	15110-74-4	O=[N+]([O-])c2ccc3c1c(cccc1Cc3(c2))[N+](=O)[O-]	Training	Mutagen	Mutagen
1602	151109-62-5	O=C3c2cc(c1c4C=CC(O)C(O)c4(ccc1c2CC3))C(F)(F)F	Training	Mutagen	Mutagen
1603	151-18-8	N#CCCN	Training	NON-Mutagen	NON-Mutagen
1604	15121-84-3	O=[N+]([O-])c1ccccc1CCO	Training	Mutagen	Mutagen
1605	15131-84-7	O3C4c5ccccc5(c2ccc1ccccc1c2C34)	Training	Mutagen	Mutagen
1606	1513-65-1	Fc1nc(F)ccc1	Training	NON-Mutagen	NON-Mutagen
1607	151378-32-4	OC2c5cccc4c1c6ccccc6(ccc1C3(OC3(C2(O)))(c45))	Training	Mutagen	Mutagen
1608	151378-34-6	OC6c4ccc3c2cccc1cccc(c12)c3c4C5OC5C6(O)	Training	Mutagen	Mutagen
1609	151455-09-3	O=C(O)c2cc1OCOc1c3c4cc(OC)cc(OC)c4(cc(c23)[N+](=O)[O-])	Training	NON-Mutagen	Mutagen
1610	151-56-4	N1CC1	Training	Mutagen	NON-Mutagen
1611	1516-21-8	O=Nc1ccc(OC)cc1	Training	Mutagen	Mutagen
1612	1516-71-8	[N-]=[N+]=Nc2nc1c3ccccc3(ccc1n2C)	Training	Mutagen	Mutagen
1613	1516-73-0	[N-]=[N+]=Nc2nc1ccccc1n2C	Training	Mutagen	Mutagen
1614	1516-74-1	[N-]=[N+]=Nc1nc2ccccc2([nH]1)	Training	Mutagen	Mutagen
1615	1517-05-1	[N-]=[N+]=NCCO	Training	Mutagen	Mutagen
1616	151751-83-6	O=NN(C(=O)OCC)CCC=O	Training	Mutagen	Mutagen
1617	15176-29-1	O=C1NC(=O)N(C=C1CC)C2OC(CO)C(O)C2	Training	NON-Mutagen	NON-Mutagen
1618	151910-74-6	OC3C=Cc2c4cc5ccc1c(C=CC(O)C1(O))c5(cc4(ccc2C3(O)))	Training	NON-Mutagen	Mutagen
1619	151910-75-7	OC2C=Cc1c3cc5c(cc3(ccc1C2(O)))c4ccccc4C(O)C5(O)	Training	NON-Mutagen	Mutagen
1620	1520-21-4	C=Cc1ccc(N)cc1	Training	Mutagen	Mutagen
1621	152-18-1	O(C)P(OC)(OC)=S	Training	NON-Mutagen	Mutagen
1622	152-20-5	O=P(OC)(OC)SC	Training	NON-Mutagen	NON-Mutagen
1623	1522-92-5	OCC(CBr)(CBr)CBr	Training	Mutagen	Mutagen
1624	15254-64-5	c1ccc3c(c1)ccc2cc(cc(c23)C)C	Training	Mutagen	Mutagen
1625	152-84-1	O=C3c5ccccc5(C(=O)c4c(O)c(OC2OC(COC1OCC(O)C(O)C1(O))C(O)C(O)C2(O))ccc34)	Training	NON-Mutagen	Mutagen
1626	1528-74-1	O=[N+]([O-])c1ccc(cc1)c2ccc(cc2)[N+](=O)[O-]	Training	Mutagen	Mutagen
1627	15299-08-8	c1ccc3c(c1)cc4c2cc(ccc2c5c6ccccc6(cc3c45))C	Training	Mutagen	Mutagen
1628	153117-10-3	O=NN(CCCC)CC(OCc1ccccc1)CO	Training	Mutagen	NON-Mutagen
1629	153260-24-3	n1c(N)sc2c1C3CCCNC3(CC2)	Training	NON-Mutagen	Mutagen
1630	153260-26-5	O=C(Nc3nc2C1=CCCN(CC=C)C1CCc2s3)C	Training	NON-Mutagen	Mutagen
1631	153260-27-6	n2cccc3c1ncsc1CCc23	Training	NON-Mutagen	Mutagen
1632	153260-28-7	n2cccc3c1nc(N)sc1C(C)(C)Cc23	Training	Mutagen	NON-Mutagen
1633	15356-70-4	OC1CC(C)CCC1(C(C)C)	Training	NON-Mutagen	NON-Mutagen
1634	153654-32-1	O=[N+]([O-])c2ccc3[nH]c1c(cc(c(O)c1[N+](=O)[O-])[N+](=O)[O-])c3(c2)	Training	Mutagen	Mutagen
1635	153654-33-2	O=[N+]([O-])c1cc3c(cc1(O))[nH]c2ccccc23	Training	Mutagen	Mutagen
1636	153654-34-3	O=[N+]([O-])c2cc1c3ccccc3([nH]c1c(c2(O))[N+](=O)[O-])	Training	Mutagen	Mutagen
1637	153654-35-4	O=[N+]([O-])c2c(O)ccc1c3ccccc3([nH]c12)	Training	NON-Mutagen	Mutagen
1638	153-78-6	Nc2ccc3c1ccccc1Cc3(c2)	Training	Mutagen	Mutagen
1639	15386-58-0	O=C2N(c1ccc(c(c1)Cl)Cl)C(=O)CC2	Training	NON-Mutagen	NON-Mutagen
1640	153954-29-1	OCc3cc1ncc(nc1c2nc(N)n(c23)C)C	Training	Mutagen	Mutagen
1641	153-98-0	Oc1ccc2[nH]cc(c2(c1))CCN	Training	NON-Mutagen	NON-Mutagen
1642	154028-32-7	O(c2cccc(C=Cc1ccc(N)cc1)c2)C	Training	Mutagen	Mutagen
1643	15403-45-9	O=C(OC)c1cc(ccc1(N))c2ccc(N)c(c2)C(=O)OC	Training	Mutagen	NON-Mutagen
1644	154159-06-5	C2C1C(CCl)(C(Cl)Cl)C(CC1(Cl)Cl)(C(Cl)Cl)C2(Cl)Cl	Training	NON-Mutagen	NON-Mutagen
1645	154-41-6	OC(c1ccccc1)C(N)C	Training	NON-Mutagen	NON-Mutagen
1646	15444-20-9	O=C1c3nccc4cc(OC)c(OC)c(c2ccccc12)c34	Training	Mutagen	Mutagen
1647	154-69-8	n1ccccc1N(Cc2ccccc2)CCN(C)C	Training	NON-Mutagen	NON-Mutagen
1648	154-93-8	O=NN(C(=O)NCCCl)CCCl	Training	Mutagen	Mutagen
1649	155014-05-4	Fc1cnc2cccc(N)c2(c1)	Training	Mutagen	Mutagen
1650	155014-06-5	O=C(Nc2cccc1cc(F)cnc12)C	Training	Mutagen	Mutagen
1651	155-09-9	NC2CC2(c1ccccc1)	Training	NON-Mutagen	NON-Mutagen
1652	1551-44-6	O=C(OC1CCCCC1)CCC	Training	NON-Mutagen	NON-Mutagen
1653	155144-64-2	O=C1C=C3N(C(=O)N1(O))c2cc(F)c(cc2N3C4CC4)c5cc(nc(c5)C)C	Training	Mutagen	Mutagen
1654	155164-57-1	O=C1C(=C(C=NN1S(=O)(=O)c2ccccc2)Cl)Cl	Training	NON-Mutagen	NON-Mutagen
1655	155164-58-2	O=C1C(=C(C=NN1S(=O)(=O)c2ccc(cc2)C)Cl)Cl	Training	NON-Mutagen	NON-Mutagen
1656	155164-59-3	O=C1C(=C(C=NN1S(=O)(=O)c2ccc(OC)cc2)Cl)Cl	Training	NON-Mutagen	NON-Mutagen
1657	155164-60-6	O=C1C(=C(C=NN1S(=O)(=O)c2ccc(cc2)Cl)Cl)Cl	Training	NON-Mutagen	NON-Mutagen
1658	155164-62-8	O=C1C(=C(C=NN1S(=O)(=O)c2ccc(cc2Cl)Cl)Cl)Cl	Training	NON-Mutagen	NON-Mutagen
1659	155164-63-9	O=C1C(=C(C=NN1C(=O)C)Cl)Cl	Training	NON-Mutagen	NON-Mutagen
1660	155164-64-0	O=C1C(=C(C=NN1C(=O)CC)Cl)Cl	Training	NON-Mutagen	NON-Mutagen
1661	155164-65-1	O=C1C(=C(C=NN1C(=O)CCCC)Cl)Cl	Training	NON-Mutagen	NON-Mutagen
1662	155164-66-2	O=C(c1ccccc1)N2N=CC(=C(C2(=O))Cl)Cl	Training	NON-Mutagen	NON-Mutagen
1663	155164-67-3	O=C(c1ccc(cc1)C)N2N=CC(=C(C2(=O))Cl)Cl	Training	NON-Mutagen	NON-Mutagen
1664	155164-68-4	O=C(c1ccc(OC)cc1)N2N=CC(=C(C2(=O))Cl)Cl	Training	NON-Mutagen	NON-Mutagen
1665	1552-42-7	O=C3OC(c1ccc(cc1)N(C)C)(c2ccc(cc2)N(C)C)c4ccc(cc34)N(C)C	Training	NON-Mutagen	NON-Mutagen
1666	155379-81-0	O=[N+]([O-])c1cc(N)cc(c1(N))C(C)C	Training	NON-Mutagen	Mutagen
1667	155379-82-1	O=[N+]([O-])c1cc(N)cc(c1(N))C	Training	Mutagen	Mutagen
1668	155379-83-2	O=[N+]([O-])c1c(N)c(cc(N)c1C)C	Training	Mutagen	Mutagen
1669	15545-48-9	O=C(Nc1ccc(c(c1)Cl)C)N(C)C	Training	NON-Mutagen	NON-Mutagen
1670	1555-94-8	n1cccc2cccc(OCC)c12	Training	NON-Mutagen	NON-Mutagen
1671	155603-50-2	O=C(O)c1ccc(cc1)C(=O)OCC(CC)CCCC	Training	NON-Mutagen	NON-Mutagen
1672	15562-42-2	O=C1c3nccc4cc(OC)c(OC)c(c2cc(OC)ccc12)c34	Training	NON-Mutagen	Mutagen
1673	155798-37-1	n3c1ccccc1c(NCCCCCOc2ccc(cc2)N(CC)CCCl)c4ccccc34	Training	Mutagen	Mutagen
1674	156-10-5	O=Nc1ccc(cc1)Nc2ccccc2	Training	Mutagen	NON-Mutagen
1675	156215-58-6	n2c1nc3ccccc3(cc1n(c2N)C)	Training	Mutagen	Mutagen
1676	156243-39-9	n1cc(nc3c1cc2nc(N)n(c2c3C)C)C	Training	Mutagen	Mutagen
1677	156243-44-6	n1cc(nc2c1ccc(NC)c2C)C	Training	Mutagen	Mutagen
1678	15625-89-5	O=C(OCC(COC(=O)C=C)(COC(=O)C=C)CC)C=C	Training	Mutagen	NON-Mutagen
1679	1562-94-3	[O-][N+](=Nc1ccc(OC)cc1)c2ccc(OC)cc2	Training	Mutagen	Mutagen
1680	1563-66-2	O=C(Oc2cccc1c2(OC(C)(C)C1))NC	Training	NON-Mutagen	Mutagen
1681	156-43-4	O(c1ccc(N)cc1)CC	Training	Mutagen	Mutagen
1682	156-59-2	C(=CCl)Cl	Training	NON-Mutagen	Mutagen
1683	1565-94-2	O=C(OCC(O)COc1ccc(cc1)C(c2ccc(OCC(O)COC(=O)C(=C)C)cc2)(C)C)C(=C)C	Training	NON-Mutagen	NON-Mutagen
1684	15687-27-1	O=C(O)C(c1ccc(cc1)CC(C)C)C	Training	NON-Mutagen	NON-Mutagen
1685	1570-64-5	Oc1ccc(cc1C)Cl	Training	NON-Mutagen	NON-Mutagen
1686	1571-08-0	O=Cc1ccc(cc1)C(=O)OC	Training	NON-Mutagen	NON-Mutagen
1687	15721-02-5	Nc1cc(c(cc1Cl)c2cc(c(N)cc2Cl)Cl)Cl	Training	Mutagen	Mutagen
1688	15743-13-2	O=C1C(=C(C(=O)C1(Cl)Cl)Cl)Cl	Training	NON-Mutagen	Mutagen
1689	1574-41-0	C=CC=CC	Training	NON-Mutagen	NON-Mutagen
1690	1576-35-8	O=S(=O)(NN)c1ccc(cc1)C	Training	Mutagen	NON-Mutagen
1691	1576-67-6	c2cc1ccc(cc1c3cc(ccc23)C)C	Training	Mutagen	Mutagen
1692	1576-87-0	O=CC=CCC	Training	Mutagen	Mutagen
1693	157730-35-3	n2ccc3cc1c(nc(N)n1C)nc3(c2)	Training	Mutagen	Mutagen
1694	15791-78-3	O=C2c4c(O)ccc(Nc1ccc(cc1)CCO)c4(C(=O)c3c(ccc(O)c23)[N+](=O)[O-])	Training	Mutagen	Mutagen
1695	157996-59-3	n2c1ccccc1c(N)c3cc(ccc23)Br	Training	Mutagen	Mutagen
1696	1582-09-8	O=[N+]([O-])c1cc(cc(c1N(CCC)CCC)[N+](=O)[O-])C(F)(F)F	Training	Mutagen	NON-Mutagen
1697	15826-37-6	O=C(O)C=3Oc4cccc(OCC(O)COc2cccc1OC(=CC(=O)c12)C(=O)O)c4(C(=O)C=3)	Training	NON-Mutagen	NON-Mutagen
1698	158321-20-1	O=[N+]([O-])c2c(N)ccc1c3ccccc3([nH]c12)	Training	Mutagen	Mutagen
1699	158366-45-1	O=C(c1cccn1[N+](=O)[O-])C	Training	Mutagen	Mutagen
1700	158366-46-2	O=C(c1c(cc(n1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])C	Training	Mutagen	Mutagen
1701	158729-20-5	O=S(=O)(Nc1ccccc1C)c3cccc2cccnc23	Training	NON-Mutagen	NON-Mutagen
1702	158729-21-6	O=S(=O)(Nc1cccc(c1)C)c3cccc2cccnc23	Training	NON-Mutagen	NON-Mutagen
1703	158729-22-7	O=S(=O)(Nc1ccccc1Cl)c3cccc2cccnc23	Training	NON-Mutagen	NON-Mutagen
1704	158729-23-8	O=S(=O)(Nc1cccc(c1)Cl)c3cccc2cccnc23	Training	NON-Mutagen	NON-Mutagen
1705	158729-24-9	O=S(=O)(Nc1ccc(cc1)Cl)c3cccc2cccnc23	Training	NON-Mutagen	NON-Mutagen
1706	158729-25-0	O=[N+]([O-])c1cccc(c1)NS(=O)(=O)c3cccc2cccnc23	Training	NON-Mutagen	NON-Mutagen
1707	158729-27-2	O=S(=O)(Nc1ccc(cc1Cl)Cl)c3cccc2cccnc23	Training	NON-Mutagen	NON-Mutagen
1708	158729-28-3	O=S(=O)(Nc1ccc(c(c1)Cl)Cl)c3cccc2cccnc23	Training	NON-Mutagen	NON-Mutagen
1709	158729-29-4	O=S(=O)(Nc1cc(cc(c1)Cl)Cl)c3cccc2cccnc23	Training	NON-Mutagen	NON-Mutagen
1710	158729-30-7	O=[N+]([O-])c1cc(ccc1Cl)NS(=O)(=O)c3cccc2cccnc23	Training	NON-Mutagen	NON-Mutagen
1711	158729-31-8	O=S(=O)(NCCN(C)C)c2cccc1cccnc12	Training	NON-Mutagen	NON-Mutagen
1712	158729-32-9	O=S(=O)(NO)c2cccc1cccnc12	Training	NON-Mutagen	NON-Mutagen
1713	159092-66-7	O=[N+]([O-])c3cccc2c3(ccc1cccc(c12)[N+](=O)[O-])	Training	Mutagen	Mutagen
1714	159092-67-8	O=[N+]([O-])c2ccc3ccc1c(cccc1[N+](=O)[O-])c3(c2)	Training	Mutagen	Mutagen
1715	159092-68-9	O=[N+]([O-])c2cccc1c3ccccc3(cc(c12)[N+](=O)[O-])	Training	Mutagen	Mutagen
1716	159092-69-0	O=[N+]([O-])c3ccc2c(ccc1ccc(cc12)[N+](=O)[O-])c3	Training	Mutagen	Mutagen
1717	159092-70-3	O=[N+]([O-])c1ccc2c(c1)cc(c3ccccc23)[N+](=O)[O-]	Training	Mutagen	Mutagen
1718	159092-71-4	O=[N+]([O-])c1ccc2c3ccccc3(cc(c2(c1))[N+](=O)[O-])	Training	Mutagen	Mutagen
1719	159092-72-5	O=[N+]([O-])c2ccc3ccc1cccc(c1c3(c2))[N+](=O)[O-]	Training	Mutagen	Mutagen
1720	159092-73-6	O=[N+]([O-])c1ccc2c(c1)c3ccccc3(cc2[N+](=O)[O-])	Training	Mutagen	Mutagen
1721	159092-74-7	O=[N+]([O-])c3cccc2cc(c1ccccc1c23)[N+](=O)[O-]	Training	Mutagen	Mutagen
1722	159092-75-8	O=[N+]([O-])c3cccc1c3(c2ccccc2(cc1[N+](=O)[O-]))	Training	Mutagen	Mutagen
1723	159092-76-9	O=[N+]([O-])c3cccc1c3(cc(c2cccc(c12)[N+](=O)[O-])[N+](=O)[O-])	Training	Mutagen	Mutagen
1724	159092-77-0	O=[N+]([O-])c3cccc2cc(c1c(cccc1[N+](=O)[O-])c23)[N+](=O)[O-]	Training	Mutagen	Mutagen
1725	159092-78-1	O=[N+]([O-])c1ccc2c(c1)c3cccc(c3(cc2[N+](=O)[O-]))[N+](=O)[O-]	Training	Mutagen	Mutagen
1726	159092-79-2	O=[N+]([O-])c1ccc2c3cccc(c3(cc(c2(c1))[N+](=O)[O-]))[N+](=O)[O-]	Training	Mutagen	Mutagen
1727	159092-80-5	O=[N+]([O-])c1ccc3c(c1)c(cc2cccc(c23)[N+](=O)[O-])[N+](=O)[O-]	Training	Mutagen	Mutagen
